kor,eng
결상,Gyeolsang
결생,Gyeolsaeng
결성,Gyeolseong
결수,Gyeolsu
결실,Gyeolsil
결심,Gyeolsim
결아,Gyeora
결애,Gyeorae
결앵,Gyeoraeng
결야,Gyeorya
결여,Gyeoryeo
결엽,Gyeoryeop
결영,Gyeoryeong
결용,Gyeoryong
결우,Gyeoru
결월,Gyeorwol
결유,Gyeoryu
결음,Gyeoreum
결의,Gyeorui
결이,Gyeori
결인,Gyeorin
결자,Gyeolja
결주,Gyeolju
결준,Gyeoljun
결진,Gyeoljin
결찬,Gyeolchan
결채,Gyeolchae
결태,Gyeoltae
결하,Gyeolha
결학,Gyeolhak
결해,Gyeolhae
결행,Gyeolhaeng
결향,Gyeolhyang
결현,Gyeolhyeon
결호,Gyeolho
결화,Gyeolhwa
결후,Gyeolhu
결휘,Gyeolhwi
결희,Gyeolhui
결히,Gyeolhi
겸,Gyeom
겸겸,Gyeomgyeom
겸구,Gyeomgu
겸규,Gyeomgyu
겸기,Gyeomgi
겸나,Gyeomna
겸녕,Gyeomnyeong
겸노,Gyeomno
겸덕,Gyeomdeok
겸도,Gyeomdo
겸돈,Gyeomdon
겸두,Gyeomdu
겸래,Gyeomnae
겸령,Gyeomnyeong
겸륜,Gyeomnyun
겸률,Gyeomnyul
겸리,Gyeomni
겸린,Gyeomnin
겸림,Gyeomnim
겸모,Gyeommo
겸무,Gyeommu
겸문,Gyeommun
겸미,Gyeommi
겸민,Gyeommin
겸범,Gyeombeom
겸봉,Gyeombong
겸부,Gyeombu
겸비,Gyeombi
겸빈,Gyeombin
겸서,Gyeomseo
겸선,Gyeomseon
겸섭,Gyeomseop
겸성,Gyeomseong
겸세,Gyeomse
겸손,Gyeomson
겸송,Gyeomsong
겸수,Gyeomsu
겸순,Gyeomsun
겸승,Gyeomseung
겸식,Gyeomsik
겸신,Gyeomsin
겸심,Gyeomsim
겸아,Gyeoma
겸열,Gyeomyeol
겸오,Gyeomo
겸온,Gyeomon
겸우,Gyeomu
겸원,Gyeomwon
겸유,Gyeomyu
겸윤,Gyeomyun
겸율,Gyeomyul
겸은,Gyeomeun
겸을,Gyeomeul
겸의,Gyeomui
겸이,Gyeomi
겸인,Gyeomin
겸일,Gyeomil
겸자,Gyeomja
겸장,Gyeomjang
겸재,Gyeomjae
겸제,Gyeomje
겸조,Gyeomjo
겸종,Gyeomjong
겸주,Gyeomju
겸준,Gyeomjun
겸지,Gyeomji
겸진,Gyeomjin
겸찬,Gyeomchan
겸창,Gyeomchang
겸채,Gyeomchae
겸청,Gyeomcheong
겸치,Gyeomchi
겸탁,Gyeomtak
겸태,Gyeomtae
겸파,Gyeompa
